Date,AlgaeMeanCC,AlgaeMeanCI,AlgaeMeanHA,AlgaeMeanLA,AlgaeMeanNONE,AlgaeMeanSN,AlgaeMeanWAT,AlgaeSTDCC,AlgaeSTDCI,AlgaeSTDHA,AlgaeSTDLA,AlgaeSTDNONE,AlgaeSTDSN,AlgaeSTDWAT,ClassCountCC,ClassCountCI,ClassCountHA,ClassCountLA,ClassCountNONE,ClassCountSN,ClassCountWAT,DensityMeanCC,DensityMeanCI,DensityMeanHA,DensityMeanLA,DensityMeanNONE,DensityMeanSN,DensityMeanWAT,DensitySTDCC,DensitySTDCI,DensitySTDHA,DensitySTDLA,DensitySTDNONE,DensitySTDSN,DensitySTDWAT,DustMeanCC,DustMeanCI,DustMeanHA,DustMeanLA,DustMeanNONE,DustMeanSN,DustMeanWAT,DustSTDCC,DustSTDCI,DustSTDHA,DustSTDLA,DustSTDNONE,DustSTDSN,DustSTDWAT,GrainMeanCC,GrainMeanCI,GrainMeanHA,GrainMeanLA,GrainMeanNONE,GrainMeanSN,GrainMeanWAT,GrainSTDCC,GrainSTDCI,GrainSTDHA,GrainSTDLA,GrainSTDNONE,GrainSTDSN,GrainSTDWAT
20170601,2586.442091777071,35839.65607353725,238037.10374786827,58401.67606518416,,5957.923763108695,164.77132068839944,22630.512521093257,73391.76446765529,164583.02718297686,102308.83847154684,,31093.104425647318,7116.527004846925,75474.0,810721.0,46153.0,128204.0,0.0,15014329.0,68612.0,96.42666079843977,139.6262521664157,246.0044835121494,303.24064590898837,,611.6126251071926,13.629635074609752,156.47654558173195,231.24919967213376,191.40010033323617,159.24290325121385,,299.52612294188975,26.687778691116343,19065.048026904744,34220.17633650806,19935.59857776136,21644.921431830346,,23555.158387774707,713.7562871919141,19510.30363079963,32738.805412621885,24082.86550093576,19541.99257577751,,47183.88700723835,7177.928999799648,24176.996550880565,22417.107002035344,19917.935210454703,15691.924419369669,,13771.402918997668,27257.184487101167,5085.2147235136545,3765.561788259418,6047.090621811818,1878.835571546285,,10332.794132932835,925.6940020280368
20170604,14419.495181935858,1121.840979546736,71358.95551462777,16995.669991494626,,12.790200601580436,122.95081967213116,57466.85930178067,9212.750109984596,85686.8142695117,44413.19509053202,,388.5614861992563,705.1086284461171,6953.0,1238042.0,28234.0,51732.0,0.0,14622816.0,61.0,400.0,786.0138630191867,400.43830133881136,513.3660017010749,,801.1479919462845,400.0,0.0,90.83438248769149,9.548033500042623,146.7597379067277,,11.83984460804341,0.0,12651.553286351213,20839.936165332037,12041.20032584827,9874.642387690405,,1861.0009009208625,553.2786885245903,15676.207205392457,31553.959437994712,16202.629432001635,10273.332040370828,,7926.206680194779,1818.1207387556424,15000.107867107725,5604.6614331339315,15002.018842530284,14453.244606819762,,2946.8903253655108,15012.295081967211,8.993814289806918,3707.2679365466133,140.14204711234265,1926.489146731433,,471.3747022928335,95.23729539854305
20170607,0.0,215.1625478203177,51573.60856854013,5408.213755566551,,0.0,0.0,0.0,1351.466832023476,67030.37960635692,8401.963437297132,,0.0,0.0,12322.0,4544355.0,73198.0,194016.0,0.0,12658129.0,128.0,400.0,771.6246640062233,401.09019372114,503.29611990763647,,799.9338685835797,400.0,0.0,74.35515896963716,10.410442487353482,106.6466406163917,,3.712414887070359,0.0,12499.188443434507,27740.050018099377,18020.77925626383,31350.790656440702,,61.26853344597768,0.0,11260.849308347211,35306.520680965536,13356.90822710257,32045.271306926894,,2000.6228721531024,0.0,15000.0,4274.882574094673,14939.752452252795,13573.102218373742,,3000.010902085134,15000.0,0.0,2205.4011971526033,420.84780649549174,2015.0007387749906,,4.669480850512726,0.0
20170610,0.0,576.6912171385633,44004.831755248844,12827.868188997863,,0.0,,0.0,2500.291511354294,57002.342688415505,12285.547501655488,,0.0,,78429.0,6009932.0,369224.0,432407.0,0.0,12124688.0,0.0,400.0,755.9521804905612,400.2957554221828,496.39344413943337,,799.9337797393221,,0.0,101.30711885051649,5.430291976360342,94.74127025968964,,3.839474095429089,,15599.523135574851,35177.535286588936,17402.430502892552,43886.85890838955,,36.772905001761686,,6332.765669612151,37249.09841334895,8561.38625275707,31758.298196360673,,1181.1505733940985,,15000.0,4616.239251958258,14942.035187311767,12351.754250046832,,3000.0,,0.0,2313.7306078953065,412.9582527988948,2501.7352978671906,,0.0,
20170613,0.0,573.7860313391764,101971.16221864252,4945.937625562593,,0.0,0.0,0.0,1810.8702302157426,77698.18412232869,8086.089056258447,,0.0,0.0,208556.0,2220671.0,183752.0,691886.0,0.0,14197736.0,8304.0,400.0,774.9423034749408,400.3776829639949,500.2626155175853,,799.7398106289622,400.0,0.0,58.31622036578773,6.239532050645987,113.09454575641668,,6.153978304493557,0.0,13364.923569688715,21351.643264580838,4803.566763899168,624.120158523225,,1084.8338777393803,0.0,15533.933272742132,31204.441956560928,13001.003978005076,4095.3509574715863,,8671.197637809835,0.0,15000.0,7313.176963179148,14994.334755540076,14705.24045868828,,3001.461641489883,15000.0,0.0,3335.1353951404108,130.6200463269123,1023.8699158984132,,57.53698320617855,0.0
20170616,6994.4673741050965,1191.3070437138194,101200.51059047713,6924.474020929112,,19.526772767486452,327.7789722640292,40426.079324680046,3955.609919985764,96976.46468431645,11583.56766131743,,411.49275987665976,8660.403630685758,180746.0,1770813.0,163732.0,608817.0,0.0,14716820.0,4651.0,400.0,778.3589684512143,400.4298487772702,505.84152545017633,,799.5195809964381,400.0559019565685,0.0,94.33932205245964,7.69717453067026,129.04466770589391,,16.877787966706915,3.812005204489704,12794.092262069424,26445.532927531025,5346.761781447732,1009.77797926142,,2602.978462738553,92.77574715115028,15440.514394153202,36935.525613295715,12889.189769554832,5055.208726977338,,13511.65102127722,1176.5479851149569,15000.0,7662.874623125084,14992.852344074463,14640.590850781104,,3120.709541871138,15000.0,0.0,3942.415102390144,168.31658732344573,1323.2524213525558,,1125.942729110776,0.0
20170619,8917.514536894112,1730.7101314480976,122305.4686927418,10456.897557065588,,31.81251112672439,438.494623655914,50288.102522834815,6767.360967074409,107815.33926572958,20473.744091767174,,635.3934128356201,10937.190272971178,180747.0,1770813.0,163732.0,608817.0,0.0,14716820.0,4650.0,400.0,792.6382740582997,400.4620965968778,518.6371931138585,,799.8505125427913,400.06881720430107,0.0,122.95860672744743,9.077014282247092,152.231153532414,,22.7352210143005,4.692203061328044,12988.873950881622,33473.43734205701,5869.243642049201,1348.3312719585688,,3469.2422004210152,118.9247311827957,15988.464292119976,44069.65748559601,13252.483436421566,6120.461600848497,,16703.90979067397,1458.1793496823293,15000.0,7429.545976904395,14991.43966970415,14587.93561940616,,3147.982865863685,15000.0,0.0,4479.931560086551,206.18300693100772,1623.707070754665,,1387.019479244086,0.0
20170622,10841.391189904776,2276.969443319535,145443.92728871948,14598.746774122012,,44.098297429251616,528.5339786247226,60323.18998240482,9805.433381134915,121385.2204213608,30710.92083265237,,876.5867074021365,12892.220880597913,180838.0,1770513.0,163716.0,608749.0,0.0,14716804.0,4959.0,399.90544022827066,807.0457997201939,400.49494246133554,531.4672056956151,,800.1822644373058,378.78806210929616,5.200491017621219,155.24191942120711,10.562439004237207,177.14262623339408,,29.14046536100156,83.8590991391182,13436.335283513421,40685.69843881406,6498.4546409636205,1687.8500005749497,,4351.841167416513,1248.4371849163138,16610.644679633577,51998.842005898914,13870.270624584065,7343.3502718581485,,20291.16627385549,7982.985351965777,15001.030203828841,7295.796133662955,14990.026020669942,14535.200057823504,,3186.3405261087933,15409.61887477314,75.32607803982589,5001.639998613911,244.60315556724672,1933.8726296951072,,1658.6895253437713,1784.5876869112715
20170625,8191.305421761146,2833.2325740123742,86739.3338772376,19222.01437338347,,64.13921206176846,67.63654925982644,46810.4073457783,8999.5380878633,99931.54503961027,35540.951163060665,,1136.9065999684515,2275.92412132638,8097.0,1038779.0,20837.0,104777.0,0.0,13345970.0,1959.0,400.0864517722613,805.3138829337137,399.78163843163605,535.1661147007454,,802.5257924302243,399.94895354772837,8.352931016065407,124.11053817938671,20.732502467901913,174.38609264528213,,21.993035106701257,2.2587694629747417,22214.4003952081,36837.68876729314,17124.346115083747,19235.82942821421,,3315.7145939935426,127.61613067891778,22024.40011518992,40390.55703545438,13125.30529785371,16304.466190793222,,13866.430362121202,995.9325055213292,14999.444238606891,5188.3225402130765,15036.137639775401,14308.173549538546,,2877.4555539986977,15000.765696784074,50.00617360149088,3863.3647526993736,358.7522674306407,2325.611170841675,,598.7339086898572,33.88154194462111
20170628,2109.827616847343,3597.6536392894354,67746.46970112421,39537.024385897166,,196.3032597146984,0.0,20299.797319143163,16242.894387261316,76538.6856535695,60668.62019524082,,3540.5751120713976,0.0,5627.0,1102729.0,29176.0,101001.0,0.0,14732547.0,2294.0,400.10662875422065,716.3027543485298,405.5717027693995,472.27096761418204,,795.8876886664607,400.0,3.5754832981374594,161.76253203098057,25.874255629761453,126.56985658652714,,50.8426060819986,0.0,15829.216278656477,34602.19872697644,35104.195228955316,53056.880624944315,,5747.2548365194425,614.6469049694856,15904.84453762721,39162.6805769923,22606.186417226756,38893.72770053188,,20300.40095797144,3040.3668863860908,15000.0,7474.384730971979,14906.717850287907,13800.972267601312,,3499.442452143543,15000.0,0.0,4904.9313683747605,603.902720133537,2300.731719931241,,2021.6806061425755,0.0
